title,author,index,category,year,comment,found
N.p.m. 2001 nr 7,DW Kruszona,CZ-131,Czasopisma,Poznań,,Nie
N.p.m. 2001 nr 8,DW Kruszona,CZ-132,Czasopisma,Poznań,,Nie
N.p.m. 2001 nr 9,DW Kruszona,CZ-133,Czasopisma,Poznań,,Nie
N.p.m. 2002 nr 2,DW Kruszona,CZ-134,Czasopisma,Poznań,,Nie
N.p.m. 2003 nr 1,DW Kruszona,CZ-135,Czasopisma,Poznań,,Nie
N.p.m. 2003 nr 6,DW Kruszona,CZ-136,Czasopisma,Poznań,,Nie
N.p.m. 2004 nr 1,DW Kruszona,CZ-137,Czasopisma,Poznań,,Nie
Vysoké Tatry 1977 z. 2,TANAP,CZ-138,Czasopisma,Tatranská Lomnica,,Nie
Vysoké Tatry 1977 z. 3,TANAP,CZ-139,Czasopisma,Tatranská Lomnica,,Nie
Taternik 1958 z. 3,PZA,CZ-14,Czasopisma,Warszawa,,Nie
Vysoké Tatry 1977 z. 4,TANAP,CZ-140,Czasopisma,Tatranská Lomnica,,Nie
Vysoké Tatry 1978 z. 3,TANAP,CZ-141,Czasopisma,Tatranská Lomnica,,Nie
Vysoké Tatry 1984 z. 4,TANAP,CZ-142,Czasopisma,Tatranská Lomnica,,Nie
Vysoké Tatry 1984 z. 5,TANAP,CZ-143,Czasopisma,Tatranská Lomnica,,Nie
Gościniec 1977 nr 9-10,ZG PTTK,CZ-144,Czasopisma,Warszawa,,Nie
Gościniec 1977 nr 11-12,ZG PTTK,CZ-145,Czasopisma,Warszawa,,Nie
Gościniec 1979 nr 7-9,ZG PTTK,CZ-146,Czasopisma,Warszawa,,Nie
Gościniec 1979 nr 10,ZG PTTK,CZ-147,Czasopisma,Warszawa,,Nie
Gościniec 1981 nr 23,ZG PTTK,CZ-148,Czasopisma,Warszawa,,Nie
Gościniec 1981 nr 4,ZG PTTK,CZ-149,Czasopisma,Warszawa,,Nie
Taternik 1961 z. 4,PZA,CZ-15,Czasopisma,Zakopane,,Nie
Gościniec 1982 nr 3,ZG PTTK,CZ-150,Czasopisma,Warszawa,,Nie
Gościniec 1982 nr 4,ZG PTTK,CZ-151,Czasopisma,Warszawa,,Nie
Gościniec 1987 nr 12,ZG PTTK,CZ-152,Czasopisma,Warszawa,,Nie
Z dziejów Pienin 1987 wiosna - lato,Ośrodek Kultury Turystyki Górskiej w Szczawnicy,CZ-153,Czasopisma,Szczawnica,,Nie
Z dziejów Pienin 1987 jesień - zima,Ośrodek Kultury Turystyki Górskiej w Szczawnicy,CZ-154,Czasopisma,Szczawnica,,Nie
Z dziejów Pienin 1988 wiosna - lato,Ośrodek Kultury Turystyki Górskiej w Szczawnicy,CZ-155,Czasopisma,Szczawnica,,Nie
Z dziejów Pienin 1988 jesień,Ośrodek Kultury Turystyki Górskiej w Szczawnicy,CZ-156,Czasopisma,Szczawnica,,Nie
Z dziejów Pienin 1988/89 zima,Ośrodek Kultury Turystyki Górskiej w Szczawnicy,CZ-157,Czasopisma,Szczawnica,,Nie
Z dziejów Pienin 1989 wiosna,Ośrodek Kultury Turystyki Górskiej w Szczawnicy,CZ-158,Czasopisma,Szczawnica,,Nie
Z dziejów Pienin 1989 lato,Ośrodek Kultury Turystyki Górskiej w Szczawnicy,CZ-159,Czasopisma,Szczawnica,,Nie
Taternik 1963 z. 1-2,PZA,CZ-16,Czasopisma,Zakopane,,Nie
Z dziejów Pienin 1989 jesień,Ośrodek Kultury Turystyki Górskiej w Szczawnicy,CZ-160,Czasopisma,Szczawnica,,Nie
Z dziejów Pienin 1989/90 zima,Ośrodek Kultury Turystyki Górskiej w Szczawnicy,CZ-161,Czasopisma,Szczawnica,,Nie
Z dziejów Pienin 1990 lato - jesień,Ośrodek Kultury Turystyki Górskiej w Szczawnicy,CZ-162,Czasopisma,Szczawnica,,Nie
Z dziejów Pienin 1990 wiosna,Ośrodek Kultury Turystyki Górskiej w Szczawnicy,CZ-163,Czasopisma,Szczawnica,,Nie
Z dziejów Pienin 1990/91 zima,Ośrodek Kultury Turystyki Górskiej w Szczawnicy,CZ-164,Czasopisma,Szczawnica,,Nie
Biuletyn SKG 1980 nr 2 lato,SKG,CZ-165,Czasopisma,Warszawa,,Nie
Biuletyn SKG 1980 nr 2 lato,SKG,CZ-166,Czasopisma,Warszawa,,Nie
Biuletyn SKG 1980/81 nr 3 jesień - zima,SKG,CZ-167,Czasopisma,Warszawa,,Nie
Biuletyn SKG 1980/81 nr 3 jesień - zima,SKG,CZ-168,Czasopisma,Warszawa,,Nie
Biuletyn SKG 1980/81 nr 3 jesień - zima,SKG,CZ-169,Czasopisma,Warszawa,,Nie
Taternik 1963 z. 3-4,PZA,CZ-17,Czasopisma,Warszawa,,Nie
"Informator SKG 1982 jesień - lato, 1982/83 zima",SKG,CZ-170,Czasopisma,Warszawa,,Nie
"Informator SKG 1982 jesień - lato, 1982/83 zima",SKG,CZ-171,Czasopisma,Warszawa,,Nie
Informator SKG 1983 wiosna - lato,SKG,CZ-172,Czasopisma,Warszawa,,Nie
Informator SKG 1984 wiosna - lato,SKG,CZ-173,Czasopisma,Warszawa,,Nie
Informator SKG 1984 wiosna - lato,SKG,CZ-174,Czasopisma,Warszawa,,Nie
Informator SKG 1984 jesień - zima,SKG,CZ-175,Czasopisma,Warszawa,,Nie
Informator SKG 1984 jesień - zima,SKG,CZ-176,Czasopisma,Warszawa,,Nie
Informator SKG 1985 wiosna - lato,SKG,CZ-177,Czasopisma,Warszawa,,Nie
Informator SKG 1985 wiosna - lato,SKG,CZ-178,Czasopisma,Warszawa,,Nie
Informator SKG 1985/86 jesień - zima,SKG,CZ-179,Czasopisma,Warszawa,,Nie
Taternik 1966 z. 3-4,PZA,CZ-18,Czasopisma,Warszawa,,Nie
Informator SKG 1986 wiosna - lato,SKG,CZ-180,Czasopisma,Warszawa,,Nie
Informator SKG 1986 wiosna - lato,SKG,CZ-181,Czasopisma,Warszawa,,Nie
Informator Jubileuszowy SKG 1986/87 jesień - zima,SKG,CZ-182,Czasopisma,Warszawa,,Nie
Informator Jubileuszowy SKG 1986/87 jesień - zima,SKG,CZ-183,Czasopisma,Warszawa,,Nie
Informator Jubileuszowy SKG 1986/87 jesień - zima,SKG,CZ-184,Czasopisma,Warszawa,,Nie
Informator SKG 1987 wiosna - lato,SKG,CZ-185,Czasopisma,Warszawa,,Nie
Informator SKG 1987 wiosna - lato,SKG,CZ-186,Czasopisma,Warszawa,,Nie
Informator SKG 1987 jesień - zima,SKG,CZ-187,Czasopisma,Warszawa,,Nie
Informator SKG 1987 jesień - zima,SKG,CZ-188,Czasopisma,Warszawa,,Nie
Informator SKG 1988 wiosna - lato - jesień,SKG,CZ-189,Czasopisma,Warszawa,,Nie
Taternik 1967 z. 1,PZA,CZ-19,Czasopisma,Warszawa,,Nie
Informator SKG 1988 wiosna - lato - jesień,SKG,CZ-190,Czasopisma,Warszawa,,Nie
Biuletyn SKG 14.01.94 nr 2,SKG,CZ-191,Czasopisma,Warszawa,,Nie
Biuletyn SKG 8.12.94 nr 4,SKG,CZ-192,Czasopisma,Warszawa,,Nie
Poznaj swój kraj 1978 nr 4,Ministerstwo oświaty i wychowania,CZ-193,Czasopisma,Warszawa,,Nie
Wspinek 1984 nr 6,AKA,CZ-194,Czasopisma,Warszawa,,Nie
Karpaty 1974 z. 2,Krakowski Klub Przodowników Turystyki Górskiej przy krakowskim oddziale PTTK,CZ-195,Czasopisma,Kraków,,Nie
Golos Lemkiv 1990,,CZ-196,Czasopisma,1990 Vatra,,Nie
Speleologia 1970 T. 5 nr 1-2,Praca zbiorowa,CZ-197,Słowniki,1970 Warszawa,,Nie
Speleologia 1970 T. 5 nr 1-2,Praca zbiorowa,CZ-197,Czasopisma,1970 Warszawa,,Nie
Speleologia 1971 T. VI nr 1-2,ZG PTTK. Komisja Speleologii,CZ-198,Czasopisma,Warszawa,,Nie
Speleologia 1971 T. VI nr 1-2,ZG PTTK. Komisja Speleologii,CZ-198,Słowniki,Warszawa,,Nie
Speleologia 1975 T. VIII nr 2,Praca zbiorowa,CZ-199,Czasopisma,1975 Warszawa,,Nie
Speleologia 1975 T. VIII nr 2,Praca zbiorowa,CZ-199,Słowniki,1975 Warszawa,,Nie
Podtatrze - wiosna'79,Rada Narodowa Miasta Zakopanego i Gminy Tatrzańskiej,CZ-2,Czasopisma,1979 Zakopane,,Nie
Taternik 1968 z. 4,PZA,CZ-20,Czasopisma,Warszawa,,Nie
Płaj,wiosna 94 nr. 8,CZ-201,Czasopisma,1994,Brak miejsca wydania,Tak
Płaj,nr. 10,CZ-202,Czasopisma,1995,Brak miejsca wydania,Tak
Płaj,nr. 2,CZ-203,Czasopisma,1988,Brak miejsca wydania,Tak
Watra,nr. 6,CZ-204,Czasopisma,1984,Brak miejsca wydania,Tak
Watra,nr. 5,CZ-205,Czasopisma,1983,Brak miejsca wydania,Tak
Płaj,nr. 3,CZ-206,Czasopisma,1990,Brak miejsca wydania,Tak
Watra,nr. 4,CZ-207,Czasopisma,1982,Brak miejsca wydania,Tak
Płaj,nr. 1,CZ-208,Czasopisma,1986,Brak miejsca wydania,Tak
Taternik 1969 z. 2,PZA,CZ-21,Czasopisma,Warszawa,,Nie
Połoniny,nr. 90/91,CZ-210,Czasopisma,1992,Brak miejsca wydania,Tak
Połoniny,nr. 92,CZ-211,Czasopisma,1993,Brak miejsca wydania,Tak
Połoniny,nr. 76,CZ-212,Czasopisma,1976,Brak miejsca wydania,Tak
Połoniny,nr. 78,CZ-213,Czasopisma,1978,Brak miejsca wydania,Tak
Połoniny,nr. 80,CZ-214,Czasopisma,1980,Brak miejsca wydania,Tak
Połoniny,nr. 81,CZ-215,Czasopisma,1981,Brak miejsca wydania,Tak
Połoniny,nr. 82,CZ-216,Czasopisma,1982,Brak miejsca wydania,Tak
Połoniny,nr. 84,CZ-217,Czasopisma,1984,Brak miejsca wydania,Tak
Połoniny,nr. 85,CZ-218,Czasopisma,1985,Brak miejsca wydania,Tak
Połoniny,nr. 86,CZ-219,Czasopisma,1986,Brak miejsca wydania,Tak
Taternik 1970 z. 1,PZA,CZ-22,Czasopisma,Warszawa,,Nie
Połoniny,nr. 87,CZ-220,Czasopisma,1987,Brak miejsca wydania,Tak
Połoniny,nr. 88,CZ-221,Czasopisma,1988,Brak miejsca wydania,Tak
Płaj,nr. 6,CZ-222,Czasopisma,,Brak roku i miejsca wydania,Tak
Płaj,nr. 4,CZ-223,Czasopisma,1990,Brak miejsca wydania,Tak
Watra,nr. 7,CZ-224,Czasopisma,1986,Brak miejsca wydania,Tak
Watr,nr. 2,CZ-225,Czasopisma,1979,Brak miejsca wydania,Tak
Watra,nr. 3,CZ-226,Czasopisma,1980,Brak miejsca wydania,Tak
Połoniny,nr. 78,CZ-227,Czasopisma,1978,Brak miejsca wydania,Tak
Połoniny,nr. 84,CZ-228,Czasopisma,1984,Brak miejsca wydania,Tak
Magury,nr. 84,CZ-229,Czasopisma,1984,Brak miejsca wydania,Tak
Taternik 1970 z. 2,PZA,CZ-23,Czasopisma,Warszawa,,Nie
Magury,nr. 84,CZ-230,Czasopisma,1984,Brak miejsca wydania,Tak
Magury,nr. 84,CZ-231,Czasopisma,1984,Brak miejsca wydania,Tak
Połoniny,nr. 85,CZ-232,Czasopisma,1985,Brak miejsca wydania,Tak
Połoniny,nr. 85,CZ-233,Czasopisma,1985,Brak miejsca wydania,Tak
Połoniny,nr. 85,CZ-234,Czasopisma,1985,Brak miejsca wydania,Tak
Połoniny,nr. 85,CZ-235,Czasopisma,1985,Brak miejsca wydania,Tak
Połoniny,nr. 85,CZ-236,Czasopisma,1985,Brak miejsca wydania,Tak
Połoniny,nr. 85,CZ-237,Czasopisma,1985,Brak miejsca wydania,Tak
Połoniny,nr. 85,CZ-238,Czasopisma,1985,Brak miejsca wydania,Tak
Połoniny,nr. 85,CZ-239,Czasopisma,1985,Brak miejsca wydania,Tak
Taternik 1970 z. 4,PZA,CZ-24,Czasopisma,Warszawa,,Nie
Połoniny,nr. 85,CZ-240,Czasopisma,1985,Brak miejsca wydania,Tak
Połoniny,nr. 85,CZ-241,Czasopisma,1985,Brak miejsca wydania,Tak
Watra,nr. 3,CZ-242,Czasopisma,1980,Brak miejsca wydania,Tak
Płaj,nr. 9,CZ-243,Czasopisma,1994,Brak miejsca wydania,Tak
Płaj,nr. 1,CZ-244,Czasopisma,1986,Brak miejsca wydania,Tak
Taternik,nr. 1-2,CZ-245,Czasopisma,1956,Brak miejsca wydania,Tak
Taternik,nr. 3-4,CZ-246,Czasopisma,1956,Brak miejsca wydania,Tak
Taternik,nr. 3,CZ-247,Czasopisma,1957,Brak miejsca wydania,Tak
Taternik,nr. 1,CZ-248,Czasopisma,1958,Brak miejsca wydania,Tak
Taternik,nr. 2,CZ-249,Czasopisma,1958,Brak miejsca wydania,Tak
Taternik 1971 z. 2,PZA,CZ-25,Czasopisma,Warszawa,,Nie
W Górach,2/2004,CZ-250,Czasopisma,2004,,Nie
W Górach,3/2004,CZ-251,Czasopisma,2004,,Nie
W Górach,1/2005,CZ-252,Czasopisma,2005,,Nie
W Górach,2/2005,CZ-253,Czasopisma,2005,,Nie
W Górach,3/2005,CZ-254,Czasopisma,2005,,Nie
W Górach,4/2005,CZ-255,Czasopisma,2005,,Nie
W Górach,1/2006,CZ-256,Czasopisma,2006,,Nie
W Górach,2/2006,CZ-257,Czasopisma,2006,,Nie
W Górach,3/2006,CZ-258,Czasopisma,2006,,Nie
W Górach,4/2006,CZ-259,Czasopisma,2006,,Nie
Taternik 1971 z. 3,PZA,CZ-26,Czasopisma,Warszawa,,Nie
W Górach,1/2007,CZ-260,Czasopisma,2007,,Nie
W Górach,2/2007,CZ-261,Czasopisma,2007,,Nie
Taternik,nr. 3/70,CZ-262,Czasopisma,1970,Brak miejsca wydania,Tak
Taternik,nr. 4/70,CZ-263,Czasopisma,1970,Brak miejsca wydania,Tak
Taternik,nr. 1/71,CZ-264,Czasopisma,1971,Brak miejsca wydania,Tak
Taternik,nr. 2/71,CZ-265,Czasopisma,1971,Brak miejsca wydania,Tak
Taternik,nr. 3/71,CZ-266,Czasopisma,1971,Brak miejsca wydania,Tak
Taternik,nr. 4/71,CZ-267,Czasopisma,1971,Brak miejsca wydania,Tak
Taternik,nr. 1/72,CZ-268,Czasopisma,1972,Brak miejsca wydania,Tak
Taternik,nr. 2/72,CZ-269,Czasopisma,1972,Brak miejsca wydania,Tak
Taternik 1971 z. 4,PZA,CZ-27,Czasopisma,Warszawa,,Nie
Taternik,nr. 3/72,CZ-270,Czasopisma,1972,Brak miejsca wydania,Tak
Taternik,nr. 4/72,CZ-271,Czasopisma,1972,Brak miejsca wydania,Tak
Taternik,nr. 1/73,CZ-272,Czasopisma,1973,Brak miejsca wydania,Tak
Taternik,nr. 2/73,CZ-273,Czasopisma,1973,Brak miejsca wydania,Tak
Taternik,nr. 3/73,CZ-274,Czasopisma,1973,Brak miejsca wydania,Tak
Taternik,nr. 4/73,CZ-275,Czasopisma,1973,Brak miejsca wydania,Tak
Taternik,nr. 1/74,CZ-276,Czasopisma,1974,Brak miejsca wydania,Tak
Taternik,nr. 2/74,CZ-277,Czasopisma,1974,Brak miejsca wydania,Tak
Taternik,nr. 3/74,CZ-278,Czasopisma,1974,Brak miejsca wydania,Tak
Taternik,nr. 4/74,CZ-279,Czasopisma,1074,Brak miejsca wydania,Tak
Taternik 1972 z. 1,PZA,CZ-28,Czasopisma,Warszawa,,Nie
Taternik,nr. 1/75,CZ-280,Czasopisma,1975,Brak miejsca wydania,Tak
Taternik,nr. 2/75,CZ-281,Czasopisma,1975,Brak miejsca wydania,Tak
Taternik,nr. 3/75,CZ-282,Czasopisma,1975,Brak miejsca wydania,Tak
Taternik,nr. 4/75,CZ-283,Czasopisma,1975,Brak miejsca wydania,Tak
Taternik,nr. 1/76,CZ-284,Czasopisma,1976,Brak miejsca wydania,Tak
Taternik,nr. 2/76,CZ-285,Czasopisma,1976,Brak miejsca wydania,Tak
Taternik 1972 z. 2,PZA,CZ-29,Czasopisma,Warszawa,,Nie
Podtatrze - lato'79,Rada Narodowa Miasta Zakopanego i Gminy Tatrzańskiej,CZ-3,Czasopisma,1979 Zakopane,,Nie
Taternik 1972 z. 3,PZA,CZ-30,Czasopisma,Warszawa,,Nie
Taternik 1973 z. 2,PZA,CZ-31,Czasopisma,Warszawa,,Nie
Taternik 1973 z. 4,PZA,CZ-32,Czasopisma,Warszawa,,Nie
Sudety,Wrz-07,CZ-328,Czasopisma,2007,,Nie
Sudety,Paź-07,CZ-329,Czasopisma,2007,,Nie
Taternik 1974 z. 2,PZA,CZ-33,Czasopisma,Warszawa,,Nie
Sudety,Gru-07,CZ-330,Czasopisma,2007,,Nie
Sudety,Sty-08,CZ-331,Czasopisma,208,,Nie
Sudety,Lut-08,CZ-332,Czasopisma,2008,,Nie
Sudety,08-Mar,CZ-333,Czasopisma,2008,,Nie
Sudety,Sie-07,CZ-334,Czasopisma,2007,,Nie
Taternik 1974 z. 3,PZA,CZ-34,Czasopisma,Warszawa,,Nie
Taternik 1974 z. 4,PZA,CZ-35,Czasopisma,Warszawa,,Nie
Taternik 1975 z. 3,PZA,CZ-36,Czasopisma,Warszawa,,Nie
Taternik 1975 z. 4,PZA,CZ-37,Czasopisma,Warszawa,,Nie
Taternik 1976 z. 2,PZA,CZ-38,Czasopisma,Warszawa,,Nie
Góry,1-2 (116-117),CZ-381,Czasopisma,2004,,Nie
Góry,3(118),CZ-382,Czasopisma,2004,,Nie
Góry,4 (119),CZ-383,Czasopisma,2004,,Nie
Góry,5 (120),CZ-384,Czasopisma,2004,,Nie
Góry,6 (121),CZ-385,Czasopisma,2004,,Nie
Góry,7-8 (122-123),CZ-386,Czasopisma,2004,,Nie
Góry,9 (124),CZ-387,Czasopisma,2004,,Nie
Góry,10 (125),CZ-388,Czasopisma,2004,,Nie
Góry,11 (126),CZ-389,Czasopisma,2004,,Nie
Taternik 1978 z. 1,PZA,CZ-39,Czasopisma,Warszawa,,Nie
Góry,12 (127),CZ-390,Czasopisma,2004,,Nie
Góry,1-2 (128-129),CZ-391,Czasopisma,2005,,Nie
Góry,3 (130),CZ-392,Czasopisma,2005,,Nie
Góry,4 (131),CZ-393,Czasopisma,2005,,Nie
Góry,5 (132),CZ-394,Czasopisma,2005,,Nie
Góry,6 (133),CZ-395,Czasopisma,2005,,Nie
Góry,7 (134),CZ-396,Czasopisma,2005,,Nie
Góry,8 (135),CZ-397,Czasopisma,2005,,Nie
Góry,9 (136),CZ-398,Czasopisma,2005,,Nie
Góry,10 (137),CZ-399,Czasopisma,2005,,Nie
Podtatrze - jesień-zima'79,Rada Narodowa Miasta Zakopanego i Gminy Tatrzańskiej,CZ-4,Czasopisma,1979 Zakopane,,Nie
Taternik 1978 z. 2,PZA,CZ-40,Czasopisma,Warszawa,,Nie
Góry,11 (138),CZ-400,Czasopisma,2005,,Nie
Góry,12- 01 (139-140),CZ-401,Czasopisma,2006,,Nie
Góry,2 (141),CZ-402,Czasopisma,2006,,Nie
Góry,3 (142),CZ-403,Czasopisma,2006,,Nie
Góry,4 (143),CZ-404,Czasopisma,2006,,Nie
Góry,5 (144),CZ-405,Czasopisma,2006,,Nie
Góry,6 (145),CZ-406,Czasopisma,2006,,Nie
Góry,7 (146),CZ-407,Czasopisma,2006,,Nie
Góry,8 (147),CZ-408,Czasopisma,2006,,Nie
Góry,9 (148),CZ-409,Czasopisma,2006,,Nie
Taternik 1978 z. 3,PZA,CZ-41,Czasopisma,Warszawa,,Nie
Góry,10 (149),CZ-410,Czasopisma,2006,,Nie
Góry,11 (150),CZ-411,Czasopisma,2006,,Nie
Góry,12- 1 (151- 152),CZ-412,Czasopisma,2007,,Nie
Góry,2 (153),CZ-413,Czasopisma,2007,,Nie
Góry,3 (154),CZ-414,Czasopisma,2007,,Nie
Góry,4 (155),CZ-415,Czasopisma,2007,,Nie
Taternik 1979 z. 1,PZA,CZ-42,Czasopisma,Warszawa,,Nie
Taternik 1979 z. 2,PZA,CZ-43,Czasopisma,Warszawa,,Nie
Taternik 1979 z. 3,PZA,CZ-44,Czasopisma,Warszawa,,Nie
Taternik 1979 z. 4,PZA,CZ-45,Czasopisma,Warszawa,,Nie
Magazyn n.p.m.,1 (46),CZ-450,Czasopisma,2005,,Nie
Magazyn n.p.m.,2 (47),CZ-451,Czasopisma,2005,,Nie
Magazyn n.p.m.,3 (48),CZ-452,Czasopisma,2005,,Nie
Magazyn n.p.m.,4 (49),CZ-453,Czasopisma,2005,,Nie
Magazyn n.p.m.,5 (50),CZ-454,Czasopisma,2005,,Nie
Magazyn n.p.m.,6 (51),CZ-455,Czasopisma,2005,,Nie
Magazyn n.p.m.,7 (52),CZ-456,Czasopisma,2005,,Nie
Magazyn n.p.m.,8 (53),CZ-457,Czasopisma,2005,,Nie
Magazyn n.p.m.,9 (54),CZ-458,Czasopisma,2005,,Nie
Magazyn n.p.m.,10 (55),CZ-459,Czasopisma,2005,,Nie
Taternik 1980 z. 1,PZA,CZ-46,Czasopisma,Warszawa,,Nie
Magazyn n.p.m.,11 (56),CZ-460,Czasopisma,2005,,Nie
Magazyn n.p.m.,12 (57),CZ-461,Czasopisma,2005,,Nie
Magazyn n.p.m.,1 (58),CZ-462,Czasopisma,2006,,Nie
Magazyn n.p.m.,2 (59),CZ-463,Czasopisma,2006,,Nie
Magazyn n.p.m.,3 (60),CZ-464,Czasopisma,2006,,Nie
Magazyn n.p.m.,4 (61),CZ-465,Czasopisma,2006,,Nie
Magazyn n.p.m.,5 (62),CZ-466,Czasopisma,2006,,Nie
Magazyn n.p.m.,6 (63),CZ-467,Czasopisma,2006,,Nie
Magazyn n.p.m.,7 (64),CZ-468,Czasopisma,2006,,Nie
Magazyn n.p.m.,8 (65),CZ-469,Czasopisma,2006,,Nie
Taternik 1980 z. 2,PZA,CZ-47,Czasopisma,Warszawa,,Nie
Magazyn n.p.m.,9 (66),CZ-470,Czasopisma,2006,,Nie
Magazyn n.p.m.,10 (67),CZ-471,Czasopisma,2006,,Nie
Magazyn n.p.m.,11 (68),CZ-472,Czasopisma,2006,,Nie
Magazyn n.p.m.,12 (69),CZ-473,Czasopisma,2006,,Nie
Taternik 1980 z. 3,PZA,CZ-48,Czasopisma,Warszawa,,Nie
Taternik 1980 z. 4,PZA,CZ-49,Czasopisma,Warszawa,,Nie
Podtatrze - lato'80,Rada Narodowa Miasta Zakopanego i Gminy Tatrzańskiej,CZ-5,Czasopisma,1980 Zakopane,,Nie
Taternik 1981 z. 1,PZA,CZ-50,Czasopisma,Warszawa,,Nie
Globtroter,01 (02),CZ-500,Czasopisma,2006,,Nie
Globtroter,02 (03),CZ-501,Czasopisma,2006,,Nie
Globtroter,03 (04),CZ-502,Czasopisma,2006,,Nie
Globtroter,04 (05),CZ-503,Czasopisma,2006,,Nie
Globtroter,05 (06),CZ-504,Czasopisma,2006,,Nie
Globtroter,06 (07),CZ-505,Czasopisma,2006,,Nie
Globtroter,07 (08),CZ-506,Czasopisma,2006,,Nie
Globtroter,08 (09),CZ-507,Czasopisma,2007,,Nie
Globtroter,09 (10),CZ-508,Czasopisma,2007,,Nie
Globtroter,11 (12),CZ-509,Czasopisma,2007,,Nie
Taternik 1981 z. 2,PZA,CZ-51,Czasopisma,Warszawa,,Nie
Globtroter,12 (13),CZ-510,Czasopisma,2007,,Nie
Globtroter,13 (14),CZ-511,Czasopisma,2007,,Nie
Taternik 1982 z. 1,PZA,CZ-52,Czasopisma,Warszawa,,Nie
Taternik 1982 z. 1,PZA,CZ-53,Czasopisma,Warszawa,,Nie
Magazyn Górski,32/2005,CZ-531,Czasopisma,2005,,Nie
Taternik,1-2/1966,CZ-532,Czasopisma,1966,,Nie
Taternik,2/1967,CZ-533,Czasopisma,1967,,Nie
Taternik,3/1967,CZ-534,Czasopisma,1967,,Nie
Taternik,4/1967,CZ-535,Czasopisma,1967,,Nie
Taternik,1/1968,CZ-536,Czasopisma,1968,,Nie
Taternik,2/1968,CZ-537,Czasopisma,1968,,Nie
Taternik,3/1968,CZ-538,Czasopisma,1968,,Nie
Taternik,1/1969,CZ-539,Czasopisma,1969,,Nie
Taternik 1982 z. 2,PZA,CZ-54,Czasopisma,Warszawa,,Nie
